Model,Question,Train,Test,Macro-F1 mean,Macro-F1 std,F1_sarc mean,F1_sarc std,F1_not_sarc mean,Prec_sarc mean,Rec_sarc mean,Seeds
TF-IDF + LR (weighted),Q2.1,all (pooled),all (pooled),0.617761468906911,0.0,0.3969631236442516,0.0,0.8385598141695703,0.2965964343598055,0.6,single (deterministic)
RoBERTa-base,Q2.1,all (pooled),all (pooled),0.6807399856774217,0.0108211231243939,0.436783819553635,0.0199166983604007,,0.7189687373483631,0.6584677630545226,"42, 17"
RoBERTa-base,Q2.2,en-UK,en-UK,0.6762263145941192,0.003913260863862789,0.41490587783326927,0.006146753745678052,0.9375467513549691,0.3416666666666667,0.5283018867924528,"42, 17"
RoBERTa-base,Q2.2,en-UK,en-AU,0.6245167549757404,0.010558224507485614,0.4289493278990477,0.014088646784496589,0.820084182052433,0.5554461942257218,0.3494897959183674,"42, 17"
RoBERTa-base,Q2.2,en-UK,en-IN,0.5840654518031285,0.006632969175583703,0.30175167364321864,0.0065487216136983495,0.8663792299630385,0.19200802738755757,0.7053571428571428,"42, 17"
RoBERTa-base,Q2.2,en-AU,en-UK,0.6090570857094496,0.0013096040365420114,0.3650063635311813,0.0006652782598634832,0.8531078078877179,0.22858763471355645,0.9056603773584906,"42, 17"
RoBERTa-base,Q2.2,en-AU,en-AU,0.7697375213372312,0.007956091558175449,0.6907650369877124,0.013270837451749506,0.8487100056867498,0.6246382978723404,0.7729591836734694,"42, 17"
RoBERTa-base,Q2.2,en-AU,en-IN,0.5129557376862189,0.0004056016926783368,0.23988889061794866,0.00033457306920216257,0.7860225847544892,0.1421491486897034,0.7678571428571429,"42, 17"
RoBERTa-base,Q2.2,en-IN,en-UK,0.588425120991111,0.0585743747224543,0.21666666666666667,0.11666666666666665,0.9601835753155553,0.4742857142857143,0.1509433962264151,"42, 17"
RoBERTa-base,Q2.2,en-IN,en-AU,0.4582686012846584,0.031173338400743794,0.09026143790849674,0.060849673202614384,0.8262757646608201,0.48060344827586204,0.05102040816326531,"42, 17"
RoBERTa-base,Q2.2,en-IN,en-IN,0.6256414895398792,0.01691983572294342,0.318443940253356,0.04202117602571373,0.9328390388264023,0.26048636129696345,0.4285714285714286,"42, 17"
TinyLlama-LoRA,Q2.3,en-UK,en-UK,0.6982649064575209,0.02970430039691485,0.43140243902439024,0.05640243902439024,0.9651273738906516,0.6226053639846744,0.33018867924528306,"42, 17"
TinyLlama-LoRA,Q2.3,en-UK,en-AU,0.5107820881172334,0.018676416011561253,0.19813206506754893,0.035738902674386536,0.8234321111669178,0.5288461538461539,0.12244897959183673,"42, 17"
TinyLlama-LoRA,Q2.3,en-UK,en-IN,0.6384592217813787,0.025482557011885287,0.3308913308913309,0.04517704517704518,0.9460271126714266,0.30889929742388755,0.35714285714285715,"42, 17"
TinyLlama-LoRA,Q2.3,en-AU,en-UK,0.6211956281613205,0.001154677782735536,0.3803826279527559,0.002429872047244097,0.8620086283698849,0.24009264024704066,0.9150943396226415,"42, 17"
TinyLlama-LoRA,Q2.3,en-AU,en-AU,0.7675615095129772,0.00044698445520696684,0.6779965605679228,0.003058595307376899,0.8571264584580316,0.6497693837847291,0.7091836734693877,"42, 17"
TinyLlama-LoRA,Q2.3,en-AU,en-IN,0.5417629120575739,0.004741635461829152,0.25077923837918414,0.016736685187694805,0.8327465857359635,0.15440419839473143,0.6696428571428572,"42, 17"
TinyLlama-LoRA,Q2.3,en-IN,en-UK,0.5671758009287365,0.05080675330968887,0.176890756302521,0.10546218487394958,0.957460845554952,0.5208333333333333,0.1320754716981132,"42, 17"
TinyLlama-LoRA,Q2.3,en-IN,en-AU,0.46389519156815395,0.039748024012313116,0.09815597812852811,0.07805547561596529,0.82963440500778,0.6559139784946236,0.05612244897959184,"42, 17"
TinyLlama-LoRA,Q2.3,en-IN,en-IN,0.564467165158632,0.030466497105575696,0.16712652739456052,0.06543161214032321,0.9618078029227035,0.6666666666666666,0.11607142857142858,"42, 17"
