Train,Test,seed=42,seed=17,Mean,Std
en-UK,en-UK,0.7279692068544358,0.6685606060606061,0.6982649064575209,0.02970430039691485
en-UK,en-AU,0.4921056721056721,0.5294585041287946,0.5107820881172334,0.018676416011561253
en-UK,en-IN,0.663941778793264,0.6129766647694934,0.6384592217813787,0.025482557011885287
en-AU,en-UK,0.6200409503785849,0.6223503059440559,0.6211956281613205,0.001154677782735536
en-AU,en-AU,0.7671145250577702,0.7680084939681842,0.7675615095129772,0.00044698445520696684
en-AU,en-IN,0.546504547519403,0.5370212765957447,0.5417629120575739,0.004741635461829152
en-IN,en-UK,0.6179825542384254,0.5163690476190477,0.5671758009287365,0.05080675330968887
en-IN,en-AU,0.5036432155804671,0.42414716755584086,0.46389519156815395,0.039748024012313116
en-IN,en-IN,0.5949336622642077,0.5340006680530563,0.564467165158632,0.030466497105575696
