Model,Batch size,Total latency (ms),Latency std (ms),Per-sample (ms)
TF-IDF + LR,1,0.6020498054567724,0.13619338827670652,0.6020498054567724
TF-IDF + LR,32,1.2985612032935023,0.0441065409463464,0.04058003760292195
TF-IDF + LR,128,2.1852737991139293,0.7010560474460413,0.017072451555577572
RoBERTa-base,1,8.475169399753213,1.671965219712575,8.475169399753213
RoBERTa-base,32,69.00705840089358,0.23195874547718903,2.1564705750279245
RoBERTa-base,128,240.66973860608414,1.3703457162577368,1.8802323328600323
TinyLlama-1.1B + LoRA,1,51.622987393056974,0.11498974724213899,51.622987393056974
TinyLlama-1.1B + LoRA,32,798.9749785920139,0.9935808498814737,24.967968081000436
TinyLlama-1.1B + LoRA,128,3346.9918048067484,37.893422740871,26.148373475052722
